ENTREZID	SYMBOL	TXCHROM
497097	Xkr4	chr1
100503874	Gm19938	NA
100038431	Gm10568	NA
19888	Rp1	chr1
20671	Sox17	chr1
27395	Mrpl15	chr1
18777	Lypla1	chr1
100503730	Gm19860	NA
21399	Tcea1	chr1
58175	Rgs20	chr1
108664	Atp6v1h	chr1
18387	Oprk1	chr1
226304	Npbwr1	chr1
12421	Rb1cc1	chr1
620393	Alkal1	chr1
240690	St18	chr1
319263	Pcmtd1	chr1
71096	Sntg1	chr1
59014	Rrs1	chr1
76187	Adhfe1	chr1
72481	2610203C22Rik	chr1
76982	Vxn	chr1
17864	Mybl1	chr1
70675	Vcpip1	chr1
73331	1700034P13Rik	chr1
170755	Sgk3	chr1
620986	NA	NA
240697	Mcmdc2	chr1
73824	Snhg6	chr1
266793	Snord87	chr1
100038398	NA	NA
100039596	Tcf24	chr1
69312	Ppp1r42	chr1
26754	Cops5	chr1
211660	Cspp1	chr1
211673	Arfgef1	chr1
329093	Cpa6	chr1
109294	Prex2	chr1
320492	A830018L16Rik	chr1
329096	Gm17644	chr1
240725	Sulf1	chr1
240726	Slco5a1	chr1
383491	Prdm14	chr1
17978	Ncoa2	chr1
72265	Tram1	chr1
212442	Lactb2	chr1
381246	Xkr9	chr1
433273	Gm5523	chr1
14048	Eya1	chr1
17681	Msc	chr1
277328	Trpa1	chr1
98741	Kcnb2	chr1
21749	Terf1	chr1
226866	Sbspon	chr1
665434	Gm7634	NA
75799	4930444P10Rik	chr1
19989	Rpl7	chr1
98711	Rdh10	chr1
29819	Stau2	chr1
66799	Ube2w	chr1
67923	Eloc	chr1
329101	D030040B21Rik	chr1
70397	Tmem70	chr1
17087	Ly96	chr1
57339	Jph1	chr1
14545	Gdap1	chr1
94227	Pi15	chr1
83691	Crispld1	chr1
78081	Crisp4	chr1
654454	Defb44-ps	chr1
654460	Defb18	chr1
77673	Defb41	chr1
654464	NA	NA
226896	Tfap2d	chr1
21419	Tfap2b	chr1
241035	Pkhd1	chr1
75028	4930486I03Rik	chr1
387202	Mir206	chr1
723817	Mir133b	chr1
16171	Il17a	chr1
